あける	To open
すわる	To sit down
くる	To come
しねる	To die
けす	To turn off
勉強する	To study　（いｒｒ）
書く	To write　（かく）
ある	There is
いそぐ	To hurry
まつ	To wait
分かる	To understand　（う）
いる	A person (is in) (る）& To need（う）
とる	To take a photo　（う） To take a class/get a grade （う）
買う	To buy　（かう）
聞く	To listen （きく）
会う	To meet (a person) （あう）
ねる	To sleep　（る）
行く	To go
読む	To read
する	To do　(irr）
のむ	To drink
話す	To speak（はなす）
起きる	To get up （る）（おきる）
帰る	To return （かえる）（う）
みる	To see (る）
やせる	To lose weight (ru)
つとめる	To work for（る）
きる	To put on (a shirt, dress)　（きる）（る）
ふとる	To gain weight　（う）
かける	To put on glasses　（る）
持つ	To carry/hold　（もつ）
もってくる	To bring a thing　(irr）
でんわをかける	To make a phone call （る）
しぬ	To die
休む	To be absent/free　（やすむ）
おふろにはいる	To have a bath（う）
シャワーをあびる	To have a shower　（る）
わすれる	To forget　（る）
おしえる	To teach　（る）
てったう	To help
しめる	To close（る）
好き（な）	Like　（すきな）
にぎゃか（な）	Lively
おもしろい	Interesting
げんき（な）	Healthy
きれい（な）	Beautiful
やすい	Cheap
古い	Old (ふるい）
大きい	Large
こわい	Frightening
あつい	Hot
いそがしい	Busy
さむい	Cold (weather)
いい	Good
たのしい	Cool/fun
やさしい	Friendly
むずかしい	Difficult
ひま（な）	Free (not busy)
高い	Expensive　（たかい）
しずか（な）	Quiet
新しい	New
きらい（な）	Disgusted
小さい	Small
つめたい	Cold (things）
つまらない	Boring
しんせつ（な）	Kind
べんり（な）	Convenient
早い	Fast　（はやい）
ながい	Long
かわいい	Cute
あたまがいい	Bright/smart
みじかい	Short (length)
せがたかい	Tall (people)
せがひくい	Short (people)
けっこんする	To get married　（る）
あめがふる	It rains　（う）
あらう	To wash
言う	To say　（いう）
おそくなる	To be late　（う）
思う	To think　（おもう）
切る	To cut （う）（きる）
作る	To make　（う）（つくる）
もっていく	To take (a thing)　（持っていく）
じろじろみる	To stare　（る）（じろじろ見る）
すてる	To throw away（捨てる）（る）
はじめる	To begin（る）（始める）
うんてんする	To drive（いｒｒ）（運転する）
せんたくする	To do laundry　（いｒｒ）（選択する）
そうじする	To clean　（掃除する）（いｒｒ）
でんわする	To call (irr)　（電話する）
りょうりする	To cook（いｒｒ）（料理する）
Verb （Plain, Past)	～た　（て　form　conjugation）
るーVerb（Plain, Present, Negative)	～ない
うーVerb （Plain,　Present,　Negative)	～あない　（Remove　う・い）
るーVerb （Plain, Past, Negative)	～なかった
うーVerb　（Plain, Past, Negative)	～あなかった （Remove う・い）
いーadj　（Plain, Past)	～かった (Remove　い）
なーadj　（Plain, Past)	～だった　(Remove　な）
いーadj　（Plain, Negative)	～くない （Remove　い）
なーadj　（Plain, Negative)	～じゃない　（Remove　な）
いーadj　（Plain, Past, Negative)	～くなかった（Remove い）
なーadj　（Plain, Past, Negative)	～じゃなかった （Remove　な）
Noun　（Plain, Past)	～だった
Noun (Plain, Negative)	～じゃない
Noun (Plain, Past, Negative)	～じゃなかった
青い	Blue　（あおい）
赤い	Red　（あかい）
くろい	Black　（黒い）
さびしい	Lonely　（寂しい）
白い	White　（しろい）
わかい	Young　（若い）
いじわる（な）	Mean-spirited　（意地悪な）
おどる	To dance　（う）（踊る）
おわる	Something ends （う）（終わる）
にんきがある	To be popular　（う）（人気がある）
ひく	To play (a string instrument or piano)（引く）
もらう	To get (from somebody）
おぼえる	To memorise　（る）（覚える）
でる	To appear/attend （る）（出る）
うんどうする	To do physical exercises（いｒｒ）（運動する）
さんぽする	To go for a walk （いｒｒ）（散歩する）
紙	Hair　（かみ）
め	Eyes　(目）
はな	Nose
みみ	Ears　（耳）
くち	Mouth　（口）
は	Teeth
ゆび	Fingers
くび	Neck
て	Hand
あたま	Head　（頭）
かお	Face　（顔）
かた	Shoulder
あご	Chin
うで	Arm
おなか	Belly
せなか	Back
くちびる	Lip
こし	Hip
つめ	Nail
のど	Throat
ひげ	Mustache/Beard
まつげ	Eyelash
まゆ	Eyebrow
どう	Torso
色	Colour　（いろ）
いいこ	Good Child　（いい子）
きょねん	Last year （去年）
くすり	Medicine　（薬）
今度	Near future　（こんど）
しけん	Exam
作文	Essay or Competition　（さくぶん）
せんげつ	Last month　（先月）
たんご	Word/vocabulary
びょうき	Illness
あき	Autumn
いしゃ	Doctor
えき	Station
おかねもら	Rich Person
きせつ	Season
ぎゅうにゅう	Milk
今年	This year　（ことし）
せいかつ	Life; Living (生活）
せかい	World
ちかてつ	Subway
てぶくる	Gloves
はる	Spring
病院	Hospital （びょういん）
びん	Flight
ふね	Ship/Boat
やきゅう	Baseball
ゆうめいじん	Celebrity
よやく	Reservation
りんご	Apple
あたたかい	Warm （暖かい）
おそい	Slow/late　（遅い）
すずしい	Cool (weather)　（涼しい）
ねむい	Sleepy （眠い）
かんたん（な）	Easy （簡単）
かかる	To take (amount of time/money) （No particle)　（う）
とまる	To stay (at a hotel, etc)　（う）
なる	To become　（う）
はらう	To pay　（払う）
きめる	To decide（決める）（る）
旅行する	To travel （りょこうする）（いｒｒ）
れんしゅうする	To practice　（練習する）
いちばん	Best　（一番）
～か～	Or
～ヶ月間	For ... months　（～かげつ）
このごろ	These days
～週間	For ... weeks （～しゅうかん）
どうやって	How (by what means)
どちら	Which
どっち	Which　(informal）
どのぐらい	How much
はやく	Fast/early
ごろ	About
おそをつく	To tell a lie　（う）
おなかがすく	To become hungry
サボる	To cut （う）
ならう	To learn （習う）
のぼる	To climb　（う）
はたらく	To work
つかれる	To get tired　（る）
やめる	To quit　（る）
けんかする	To have a fight　（いｒｒ）
じょうかいする	To introduce (Irr)
ダイエットする	To go on a diet (Irr)
