あの映画スターはとても有名な女優です。 (あのえいがすたーはとてもゆうめいなじょゆうです。)
今日は雨が降る。 (きょうはあめがふる。)
昨日は車を洗った。 (きのうはくるまをあらった。)
私は彼女に愛を言った。 (わたしはかのじょにあいをいった。)
私たちはお金が要る。 (わたしたちはおかねがいる。)
私はいつも遅れる。 (わたしはいつもおくれる。)
彼は私を愛していると思う。 (かれはわたしをあいしているとおもう。)
私は野菜を切る。 (わたしはやさいをきる。)
私は毎日昼ごはんを作る。 (わたしはまいにちひるごはんをつくる。)
彼は私をじろじろ見つめた。 (かれはわたしをじろじろみつめた。)
古い紙は捨ててください。 (ふるいかみはすててください。)
明日から新しい生活を始めます。 (あしたからあたらしいせいかつをはじめます。)
彼女は毎日車を運転します。 (かのじょはまいにちくるまをうんてんします。)
母は週に二回洗濯をします。 (はははしゅうににかいせんたくをします。)
彼は部屋を掃除しました。 (かれはへやをそうじしました。)
私は友達に電話をかけました。 (わたしはともだちにでんわをかけました。)
母は毎日美味しい料理を作ってくれます。 (はははまいにちおいしいりょうりをつくってくれます。)
